Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Debt_to_Equity,Total Assets,Cash,Goodwill & Intangible,Net Income,Return_on_TangibleAssets
OPXA,"Opexa Therapeutics, Inc.","Opexa Therapeutics, Inc. - Common Stock",S,N,D,100,0.0,0.0,0.0,0.0,0.0,
ORBC,ORBCOMM Inc.,ORBCOMM Inc. - Common Stock,Q,N,N,100,1.0730028364590831,580980000.0,54258000.0,239409000.0,-18423000.0,-0.0641217069885456
ORBK,Orbotech Ltd.,Orbotech Ltd. - Ordinary Shares,Q,N,N,100,0.0,0.0,0.0,0.0,132000000.0,inf
OREX,"Orexigen Therapeutics, Inc.","Orexigen Therapeutics, Inc. - Common Stock",Q,N,N,100,-0.40673753747975694,183747000.0,45577000.0,70108000.0,-24524000.0,-0.36031853310217155
ORIG,Ocean Rig UDW Inc.,Ocean Rig UDW Inc. - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,-5000000.0,-inf
ORIT,Oritani Financial Corp.,Oritani Financial Corp. - Common Stock,Q,N,N,100,0.8511524655204987,3989658000.0,27143000.0,0.0,52059000.0,0.013137868247817359
ORLY,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc. - Common Stock",Q,N,N,100,10.586872703478129,10717160000.0,40406000.0,0.0,1391042000.0,0.13028697673468922
ORMP,Oramed Pharmaceuticals Inc.,Oramed Pharmaceuticals Inc. - Common Stock,S,N,N,100,0.00615288999378496,29881000.0,5934000.0,0.0,-14355000.0,-0.5994487827285255
ORPN,Bio Blast Pharma Ltd.,Bio Blast Pharma Ltd. - Ordinary Shares,G,N,N,100,0.0,0.0,0.0,0.0,-6000000.0,-inf
ORRF,Orrstown Financial Services Inc,Orrstown Financial Services Inc - Common Stock,S,N,N,100,0.44641219188073006,2313677000.0,50923000.0,27579000.0,12805000.0,0.005728857919402284
OSBC,"Old Second Bancorp, Inc.","Old Second Bancorp, Inc. - Common Stock",Q,N,N,100,0.5248554742038583,2614315000.0,54037000.0,21404000.0,34012000.0,0.013396489940028532
OSBCP,"Old Second Bancorp, Inc.","Old Second Bancorp, Inc. - 7.80% Cumulative Trust Preferred Securities",Q,N,N,100,0.3823237267152276,2635545000.0,50632000.0,21275000.0,39455000.0,0.015390238403393926
OSHC,Ocean Shore Holding Co.,Ocean Shore Holding Co. - Common Stock,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
OSIR,"Osiris Therapeutics, Inc.","Osiris Therapeutics, Inc. - Common Stock",G,N,N,100,0.022004889975550123,101502000.0,16367000.0,0.0,36901000.0,0.43344100546191344
OSIS,"OSI Systems, Inc.","OSI Systems, Inc. - Common Stock",Q,N,N,100,0.4718584369105423,1301926000.0,95100000.0,436893000.0,64796000.0,0.08415797218719032
OSM,SLM Corporation,"SLM Corporation - Medium Term Notes, Series A, CPI-Linked Notes due March 15, 2017",G,N,N,100,2.220161153795914,31760895000.0,7292929000.0,0.0,561439000.0,0.022945879522637883
OSN,"Ossen Innovation Co., Ltd.","Ossen Innovation Co., Ltd. - American Depositary Shares",S,N,D,100,0.0,162245911.0,3444421.0,3422365.0,10379453.0,0.06680082025175518
OSTK,"Overstock.com, Inc.","Overstock.com, Inc. - Common Stock",G,N,N,100,0.24466476660526223,417727000.0,112266000.0,38876000.0,-121841000.0,-0.4570437196391395
OSUR,"OraSure Technologies, Inc.","OraSure Technologies, Inc. - Common Stock",Q,N,N,100,0.01705383450813134,349295000.0,75715000.0,50875000.0,16656000.0,0.07478951976830336
OTEL,Otelco Inc.,Otelco Inc. - Common Stock,S,N,N,100,4.1943380416566916,119613000.0,5298000.0,45601000.0,9467000.0,0.13777396163809413
OTEX,Open Text Corporation,Open Text Corporation - Common Shares,Q,N,N,100,0.28322386028804836,9498233000.0,675403000.0,6464564000.0,285501000.0,0.12106395122517985
OTIC,"Otonomy, Inc.","Otonomy, Inc. - Common Stock",Q,N,N,100,0.45407998409266026,83018000.0,25194000.0,0.0,-44675000.0,-0.7726030713890426
OTIV,On Track Innovations Ltd,On Track Innovations Ltd - Ordinary Shares,G,N,N,100,0.4062015503875969,22419000.0,3575000.0,262000.0,-263000.0,-0.014153481864169627
OTTR,Otter Tail Corporation,Otter Tail Corporation - Common Stock,Q,N,N,100,0.7801600782546051,2180191000.0,921000.0,49134000.0,82345000.0,0.038657156162798995
OUTR,Outerwall Inc.,Outerwall Inc. - Common Stock,Q,N,N,100,17.101762488834666,1226664000.0,199048000.0,532934000.0,44337000.0,0.08962727570439191
OVAS,OvaScience Inc.,OvaScience Inc. - Common Stock,G,N,N,100,0.0,49234000.0,31917000.0,0.0,0.0,0.0
OVBC,Ohio Valley Banc Corp.,Ohio Valley Banc Corp. - Common Stock,G,N,N,100,0.09933764501205346,1013272000.0,52356000.0,7493000.0,9907000.0,0.01039098070845784
OVLY,Oak Valley Bancorp (CA),Oak Valley Bancorp (CA) - Common Stock,S,N,N,100,0.0,1147785000.0,147594000.0,3837000.0,12489000.0,0.012534701521748294
OVTI,"OmniVision Technologies, Inc.","OmniVision Technologies, Inc. - Common Stock",Q,N,N,100,0.02637690387225415,1498743000.0,409656000.0,55874000.0,93390000.0,0.09038794517684157
OXBR,Oxbridge Re Holdings Limited,Oxbridge Re Holdings Limited - Ordinary Shares,S,N,N,100,0.07525398218989088,9790000.0,6137000.0,0.0,-5749000.0,-1.5737749794689297
OXBRW,Oxbridge Re Holdings Limited,Oxbridge Re Holdings Limited - Warrant,S,N,N,100,0.07459903021260723,9495000.0,5962000.0,0.0,-305000.0,-0.0863288989527314
OXFD,Oxford Immunotec Global PLC,Oxford Immunotec Global PLC - Ordinary Shares,G,N,N,100,0.040684914198539014,235252000.0,181270000.0,2570000.0,-1809000.0,-0.03518633781996421
